question_concept_id	survey	item_name	encoding	include_exclude	external_analog	notes
836827	Personal and Family Health History	Including yourself, who in your family has had alcohol use disorder? Select all that apply.	allowlisted_one_hot	include		primary_full feature
836851	Personal and Family Health History	Including yourself, who in your family has had a drug use disorder? Select all that apply.	allowlisted_one_hot	include		primary_full feature
903058	Lifestyle	Past 3 Month Use Frequency: Prescription Stimulant 3 Month Use	one_hot	include		primary_full feature
903573	The Basics	Disability: Deaf	one_hot	include		primary_full feature
903574	The Basics	Disability: Blind	one_hot	include		primary_full feature
903575	The Basics	Disability: Difficulty Concentrating	one_hot	include		primary_full feature
903576	The Basics	Disability: Walking Climbing	one_hot	include		primary_full feature
903577	The Basics	Disability: Dressing Bathing	one_hot	include		primary_full feature
903578	The Basics	Disability: Errands Alone	one_hot	include		primary_full feature
1585357	The Basics	Gender Identity: Sexuality Closer Description	one_hot	include		primary_full feature
1585370	The Basics	Home Own: Current Home Own	one_hot	include		primary_full feature
1585375	The Basics	Income: Annual Income	one_hot	include		primary_full feature
1585386	The Basics	Insurance: Health Insurance	ordinal	include		primary_full feature
1585389	The Basics	Health Insurance: Health Insurance Type	one_hot	include		primary_full feature
1585402	The Basics	Living Situation: Current Living	one_hot	include		primary_full feature
1585636	Lifestyle	Recreational Drug Use: Which Drugs Used	one_hot	include		primary_full feature
1585650	Lifestyle	Past 3 Month Use Frequency: Marijuana 3 Month Use	one_hot	include		primary_full feature
1585656	Lifestyle	Past 3 Month Use Frequency: Cocaine 3 Month Use	one_hot	include		primary_full feature
1585668	Lifestyle	Past 3 Month Use Frequency: Other Stimulant 3 Month Use	one_hot	include		primary_full feature
1585674	Lifestyle	Past 3 Month Use Frequency: Inhalant 3 Month Use	one_hot	include		primary_full feature
1585680	Lifestyle	Past 3 Month Use Frequency: Sedative 3 Month Use	one_hot	include		primary_full feature
1585686	Lifestyle	Past 3 Month Use Frequency: Hallucinogen 3 Month Use	one_hot	include		primary_full feature
1585692	Lifestyle	Past 3 Month Use Frequency: Street Opioid 3 Month Use	one_hot	include		primary_full feature
1585698	Lifestyle	Past 3 Month Use Frequency: Prescription Opioid 3 Month Use	ordinal	include		primary_full feature; curated subuse_lifestyle_0_4 scale
1585704	Lifestyle	Past 3 Month Use Frequency: Other 3 Month Use	one_hot	include		primary_full feature
1585711	Overall Health	Overall Health: General Health	ordinal	include		primary_full feature
1585717	Overall Health	Overall Health: General Quality	ordinal	include		primary_full feature
1585723	Overall Health	Overall Health: General Physical Health	ordinal	include		primary_full feature
1585729	Overall Health	Overall Health: General Mental Health	one_hot	include		primary_full feature
1585735	Overall Health	Overall Health: Social Satisfaction	ordinal	include		primary_full feature
1585741	Overall Health	Overall Health: Everyday Activities	one_hot	include		primary_full feature
1585748	Overall Health	Overall Health: Average Fatigue 7 Days	one_hot	include		primary_full feature
1585754	Overall Health	Overall Health: General Social	ordinal	include		primary_full feature
1585760	Overall Health	Overall Health: Emotional Problem 7 Days	one_hot	include		primary_full feature
1585766	Overall Health	Overall Health: Medical Form Confidence	one_hot	include		primary_full feature
1585772	Overall Health	Overall Health: Health Material Assistance	one_hot	include		primary_full feature
1585778	Overall Health	Overall Health: Difficult Understand Info	one_hot	include		primary_full feature
1585815	Overall Health	Overall Health: Outside Travel 6 Month	one_hot	include		primary_full feature
1585852	The Basics	Active Duty: Active Duty Serve Status	ordinal	include		primary_full feature
1585857	Lifestyle	Smoking: 100 Cigs Lifetime	ordinal	include		primary_full feature
1585860	Lifestyle	Smoking: Smoke Frequency	ordinal	include		primary_full feature
1585864	Lifestyle	Smoking: Daily Smoke Starting Age	numeric	include		primary_full feature
1585867	Lifestyle	Smoking: Serious Quit Attempt	one_hot	include		primary_full feature
1585870	Lifestyle	Attempt Quit Smoking: Completely Quit Age	numeric	include		primary_full feature
1585873	Lifestyle	Smoking: Number Of Years	numeric	include		primary_full feature
1585879	The Basics	Living Situation: How Many Living Years	one_hot	include		primary_full feature
1585886	The Basics	Living Situation: Stable House Concern	ordinal	include		primary_full feature
1585889	The Basics	Living Situation: How Many People	one_hot	include		primary_full feature
1585890	The Basics	Living Situation: People Under 18	one_hot	include		primary_full feature
1585892	The Basics	Marital Status: Current Marital Status	one_hot	include		primary_full feature
1585899	The Basics	The Basics: Sexual Orientation	one_hot	include		primary_full feature
1585952	The Basics	Employment: Employment Status	one_hot	include		primary_full feature
1586135	The Basics	The Basics: Birthplace	one_hot	include		primary_full feature
1586159	Lifestyle	Smoking: Current Daily Cigarette Number	numeric	include		primary_full feature
1586162	Lifestyle	Smoking: Average Daily Cigarette Number	numeric	include		primary_full feature
1586166	Lifestyle	Electronic Smoking: Electric Smoke Participant	ordinal	include		primary_full feature
1586169	Lifestyle	Electronic Smoking: Electric Smoke Frequency	ordinal	include		primary_full feature
1586174	Lifestyle	Cigar Smoking: Cigar Smoke Participant	ordinal	include		primary_full feature
1586177	Lifestyle	Cigar Smoking: Current Cigar Frequency	ordinal	include		primary_full feature
1586182	Lifestyle	Hookah Smoking: Hookah Smoke Participant	ordinal	include		primary_full feature
1586185	Lifestyle	Hookah Smoking: Current Hookah Frequency	ordinal	include		primary_full feature
1586190	Lifestyle	Smokeless Tobacco: Smokeless Tobacco Participant	ordinal	include		primary_full feature
1586193	Lifestyle	Smokeless Tobacco: Smokeless Tobacco Frequency	ordinal	include		primary_full feature
1586198	Lifestyle	Alcohol: Alcohol Participant	ordinal	include		primary_full feature
1586201	Lifestyle	Alcohol: Drink Frequency Past Year	ordinal	include		primary_full feature
1586207	Lifestyle	Alcohol: Average Daily Drink Count	one_hot	include		primary_full feature
1586213	Lifestyle	Alcohol: 6 or More Drinks Occurrence	ordinal	include		primary_full feature
1703874	Behavioral Health and Personality	During the past 6 months How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?	ordinal	include		primary_full feature
1703875	Behavioral Health and Personality	I am someone who has difficulty getting started on tasks.	ordinal	include		primary_full feature
1703878	Behavioral Health and Personality	During the past 6 months How often do you have problems remembering appointments or obligations?	ordinal	include		primary_full feature
1703881	Behavioral Health and Personality	I am someone who is original, comes up with new ideas.	ordinal	include		primary_full feature
1703892	Behavioral Health and Personality	I am someone who tends to be disorganized.	ordinal	include		primary_full feature
1703893	Behavioral Health and Personality	I am someone who worries a lot.	ordinal	include		primary_full feature
1703896	Behavioral Health and Personality	I am someone who is emotionally stable, not easily upset.	ordinal	include		primary_full feature
1703903	Behavioral Health and Personality	I am someone who is full of energy.	ordinal	include		primary_full feature
1703904	Behavioral Health and Personality	I am someone who is compassionate, has a soft heart.	ordinal	include		primary_full feature
1703911	Behavioral Health and Personality	I am someone who is sometimes rude to others.	ordinal	include		primary_full feature
1703912	Behavioral Health and Personality	I am someone who is reliable, can always be counted on.	ordinal	include		primary_full feature
1703913	Behavioral Health and Personality	During the past 6 months How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?	ordinal	include		primary_full feature
1703914	Behavioral Health and Personality	During the past 6 months How often do you have difficulty getting things in order when you have to do a task that requires organization?	ordinal	include		primary_full feature
1703916	Behavioral Health and Personality	During the past 6 months When you have a task that requires a lot of thought, how often do you avoid or delay getting started?	ordinal	include		primary_full feature
1703918	Behavioral Health and Personality	I am someone who is dominant, acts as a leader.	ordinal	include		primary_full feature
1703919	Behavioral Health and Personality	I am someone who has little interest in abstract ideas.	ordinal	include		primary_full feature
1703925	Behavioral Health and Personality	During the past 6 months How often do you feel overly active and compelled to do things, like you were driven by a motor?	ordinal	include		primary_full feature
1703926	Behavioral Health and Personality	I am someone who tends to be quiet.	ordinal	include		primary_full feature
1703929	Behavioral Health and Personality	I am someone who tends to feel depressed, blue.	ordinal	include		primary_full feature
1703930	Behavioral Health and Personality	I am someone who is fascinated by art, music, or literature.	ordinal	include		primary_full feature
1703932	Behavioral Health and Personality	I am someone who assumes the best about people.	ordinal	include		primary_full feature
1740660	Personal and Family Health History	Including yourself, who in your family has had attention-deficit/hyperactivity disorder (ADHD)? Select all that apply.	one_hot	include		primary_full feature
40192381	Social Determinants of Health	In the last month, how often have you felt that you were unable to control the important things in your life?	one_hot	include		primary_full feature
40192384	Social Determinants of Health	How much you agree or disagree that your neighborhood is safe?	ordinal	include		primary_full feature
40192386	Social Determinants of Health	How much you agree or disagree that people in your neighborhood take good care of their houses and apartments?	ordinal	include		primary_full feature
