pfhh_group	question_concept_id	question	codebook_yes_item	self_answer_concept	phenotype_id
Brain and nervous system	1740628	Including yourself, who in your family has had cerebral palsy? Select all that apply.	nervouscondition_cerebralpalsy_yes	NervousSystemCondition_CerebralPalsy	self_has_cerebralpalsy
Brain and nervous system	1740586	Including yourself, who in your family has had chronic fatigue? Select all that apply.	nervouscondition_chronicfatigue_yes	NervousSystemCondition_ChronicFatigue	self_has_chronicfatigue
Brain and nervous system	1740671	Including yourself, who in your family has had concussion or loss of consciousness? Select all that apply.	nervouscondition_concussion_yes	NervousSystemCondition_Concussion	self_has_concussion
Brain and nervous system	836807	Including yourself, who in your family has had dementia (includes Alzheimer's, vascular, etc.)? Select all that apply.	nervouscondition_dementia_yes	NervousSystemCondition_Dementia	self_has_dementia
Brain and nervous system	836852	Including yourself, who in your family has had epilepsy or seizure? Select all that apply.	nervouscondition_epilepsyseizure_yes	NervousSystemCondition_Epilepsy	self_has_epilepsyseizure
Brain and nervous system	1740559	Including yourself, who in your family has had insomnia? Select all that apply.	nervouscondition_insomnia_yes	NervousSystemCondition_Insomnia	self_has_insomnia
Brain and nervous system	836806	Including yourself, who in your family has had Lou Gehrig's disease (amyotrophic lateral sclerosis)? Select all that apply.	nervouscondition_amyotrophiclateralsclerosis_yes	NervousSystemCondition_LouGehrigs	self_has_amyotrophiclateralsclerosis
Brain and nervous system	1740566	Including yourself, who in your family has had memory loss or impairment? Select all that apply.	nervouscondition_memoryloss_yes	NervousSystemCondition_MemoryLoss	self_has_memoryloss
Brain and nervous system	836808	Including yourself, who in your family has had migraine headaches? Select all that apply.	nervouscondition_migraineheadaches_yes	NervousSystemCondition_Migraine	self_has_migraineheadaches
Brain and nervous system	836809	Including yourself, who in your family has had multiple sclerosis (MS)? Select all that apply.	nervouscondition_multiplesclerosis_yes	NervousSystemCondition_MultipleSclerosis	self_has_multiplesclerosis
Brain and nervous system	836810	Including yourself, who in your family has had muscular dystrophy (MD)? Select all that apply.	nervouscondition_musculardystrophy_yes	NervousSystemCondition_MuscularDystrophy	self_has_musculardystrophy
Brain and nervous system	836853	Including yourself, who in your family has had narcolepsy? Select all that apply.	nervouscondition_narcolepsy_yes	NervousSystemCondition_Narcolepsy	self_has_narcolepsy
Brain and nervous system	836811	Including yourself, who in your family has had neuropathy? Select all that apply.	nervouscondition_neuropathy_yes	NervousSystemCondition_Neuropathy	self_has_neuropathy
Brain and nervous system	836812	Including yourself, who in your family has had Parkinson's disease? Select all that apply.	nervouscondition_parkinsons_yes	NervousSystemCondition_ParkinsonsDisease	self_has_parkinsons
Brain and nervous system	836813	Including yourself, who in your family has had restless leg syndrome? Select all that apply.	nervouscondition_restlesslegssyndrome_yes	NervousSystemCondition_RestlessLegSyndrome	self_has_restlesslegssyndrome
Brain and nervous system	1740576	Including yourself, who in your family has had spinal cord injury or impairment? Select all that apply.	nervouscondition_spinalcordinjury_yes	NervousSystemCondition_SpinalCordInjury	self_has_spinalcordinjury
Brain and nervous system	1740627	Including yourself, who in your family has had traumatic brain injury (TBI)? Select all that apply.	nervouscondition_traumaticbraininjury_yes	NervousSystemCondition_TraumaticBrainInjury	self_has_traumaticbraininjury
Brain and nervous system	1740558	Including yourself, who in your family has had other brain or nervous system condition(s)? Select all that apply.	nervouscondition_otherbrainnervoussystem_yes	NervousSystemCondition_OtherBrainNervousSystem	self_has_otherbrainnervoussystem
Mental health or substance use	836827	Including yourself, who in your family has had alcohol use disorder? Select all that apply.	mentalcondition_alcoholuse_yes	MentalHealthCondition_AlcoholUse	self_has_alcoholuse
Mental health or substance use	836850	Including yourself, who in your family has had anxiety reaction/panic disorder? Select all that apply.	mentalcondition_anxietypanic_yes	MentalHealthCondition_Anxiety	self_has_anxietypanic
Mental health or substance use	1740660	Including yourself, who in your family has had attention-deficit/hyperactivity disorder (ADHD)? Select all that apply.	mentalcondition_adhd_yes	MentalHealthCondition_ADHD	self_has_adhd
Mental health or substance use	836802	Including yourself, who in your family has had autism spectrum disorder? Select all that apply.	mentalcondition_autism_yes	MentalHealthCondition_AutismSpectrum	self_has_autism
Mental health or substance use	836803	Including yourself, who in your family has had bipolar disorder? Select all that apply.	mentalcondition_bipolar_yes	MentalHealthCondition_Bipolar	self_has_bipolar
